Dateityp;Intrinisic and distortion parameters of camera-single-calibration;[1]
Anzahl Boards;50;[1]
Distortion k1;-92559631349317830736831783200707727132248687965119994463780864.000000;[1]
Distortion k2;0.000000;[1]
Distortion p1;0.000000;[1]
Distortion p2;0.000000;[1]
Distortion k3;0.000000;[1]
Intrinsic fx;0.000000;[Px]
Intrinsic 01;1.082874;[Px]
Intrinsic cx;0.000000;[Px]
Intrinsic 10;0.000000;[Px]
Intrinsic fy;0.000000;[Px]
Intrinsic cy;0.000000;[Px]
Intrinsic 20;0.000000;[Px]
Intrinsic 21;0.000000;[Px]
Intrinsic 22;0.000000;[Px]
